disgruntled#adj. 心境不佳的，不满的 #dis5grQntld
mottled#adj. 有杂色的，斑驳的#5mCtld
inflamed#adj. 发炎的，红肿的，愤怒的#
mistimed#adj. 不合时机的#
unfathomed#adj. 深不可测的，无法理解的 #Qn5fATEmd
confirmed#adj. 习惯的，积习的#kEn5fE:md
enlightened#adj. 开明的，有见识的#in5lBitnd
straitened#adj. 贫困的#5streitnd
wizened#adj. 干皱的，干巴巴的#5wiznd
feigned#adj. 假装的，不真诚的#5feind
resigned#adj. 逆来顺受的，顺从的#ri5zBind
ingrained#adj. 根深蒂固的#in5greind
strained#adj. 不自然的，不友好的#5streind
sustained#adj. 持久的，经久不衰的#
inclined#adj. 倾向于，赞成的#in5klBind
disinclined#adj. 不愿的#
chagrined#adj. 失望的，灰心的#
tined#adj. 尖端的#
impassioned#adj. 慷慨激昂的#im5pAFEnd
renowned#adj. 著名的#ri5nBund
cramped#adj. 狭窄的，挤在一起的#krAmpt
scared#adj. 害怕的，恐惧的#
vinegared#adj. 酸的，尖刻的#
purebred#adj. (动物)纯种的#5pjuEbred
thoroughbred#adj. 良种的，纯种的#5WQrEbred
lowbred#adj. 粗野的，鲁莽的#lou5bred
sacred#adj. 神圣的，庄严的#5seikrid
knackered#adj. 疲乏的，疲倦的#5nAkEd
even-tempered#adj. 性情平和的，不易生气的 #
plastered#adj. 抹上灰泥的#5plAstEd
cloistered#adj. 隐居的#
tattered#adj. 衣衫褴褛的，破旧的#5tAtEd
fettered#adj. 被拘束的，没自由的#
unfettered#adj. 无忧无虑的#
shred#v. 切成细条，撕成碎片#Fred
shred#n. 碎片，碎条#Fred
inspired#adj. 有创见的，有灵感的#in5spBiEd
acquired#adj. 后天习得的#E5kwBird
barred#adj. 被禁止的，闩住的，有条纹的 #
inured#adj. 习惯的#
laboured#adj. 吃力的，（文体）不自然的 #5leibEd
enamoured#adj. 珍爱的，喜爱的#
measured#adj. 精确的，慎重的#5meVEd
assured#adj. 自信的，确定的#E5FuEd
unadvised#adj. 草率的，鲁莽的#QnEd5vBizd
hard-nosed#adj. 顽固的#
disposed#adj. 愿意，想干#
indisposed#adj. 不愿意的，身体不适的 #indis5pouzd
versed#adj. 熟练的，精通的#vE:st
unversed#adj.不熟练的，不熟知的#Qn5vE:st
possessed#adj. 疯狂的，着了魔的#
dispossessed#adj. 被剥夺财产的#
star-crossed#adj. 时运不济的#
cussed#adj. 执拗的，顽固的#5kQsid
sophisticated#adj. 老于世故的,（仪器）精密的 #sE5fistikeitid
dilapidated#adj. 破旧的，倒塌的#di5lApideitid
variegated#adj. 斑驳的，形形色色的#5veErigeitid
emaciated#adj. 瘦弱的#i5meiFieitid
striated#adj. 有条纹的#5strBieitid
elated#adj. 得意洋洋的振奋的#i5leitid
deflated#adj. 灰心丧气的#
inflated#adj. 充气的，骄傲的#in5fleitid
simulated#adj. 伪装的，模仿的#
alienated#adj. 疏远的，被隔开的#
opinionated#adj. 固执已见的#E5pinjEneitid
eburnated#adj. 像象牙一样坚硬的#
bloated#adj. 肿胀的#5bloutid
bloated#adj. 得意忘形的，薰制的#5bloutid
dissipated#adj. 浪费的，放荡的#5disipeitid
celebrated#adj. 有名的，知名的#5selibreitid
liberated#adj. 无拘束的，放纵的#
integrated#adj. 整合的，完整的#5intEgreitid
serrated#adj. 呈锯齿状的#se5reitid
premeditated#adj. 预谋的，事先计划的#pri5mediteitid
agitated#adj. 被鼓动的，不安的#
superannuated#adj. 老迈的，老式的#
